,Unnamed: 0,Country or Area,Industry,Value,ratio
165,279,Ghana,"Arts, entertainment and recreation (ISIC Rev.4: Section R)",113728.0,0.51978428001732
166,285,Ghana,Information and communication (ISIC Rev.4: Section J),83986.0,0.38385096494737
167,293,Ghana,"Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)",49248.0,0.22508385113862
168,282,Ghana,"Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)",31540.0,0.14415092318291
169,291,Ghana,Real estate activities (ISIC Rev.4: Section L),8890.0,0.04063099895675
170,275,Ghana,Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U),5664.0,0.02588683668066
171,295,Indonesia,"Agriculture, hunting, forestry and fishing (ISIC Rev.2: Major Division 1)",78657830.0,35.86101204938627
172,303,Indonesia,Wholesale and retail trade and restaurants and hotels (ISIC Rev.2: Major Division 6),46793074.0,21.3335022151237
173,296,Indonesia,"Community, social and personal services (ISIC Rev.2: Major Division 9)",33291718.0,15.1780782706918
174,300,Indonesia,Manufacturing  (ISIC Rev.2: Major Division 3),29084162.0,13.25980495429765
175,297,Indonesia,Construction (ISIC Rev.2: Major Division 5),12679622.0,5.78078593477169
176,302,Indonesia,"Transport, storage and communication (ISIC Rev.2: Major Division 7)",10157644.0,4.63098707245516
177,299,Indonesia,"Financing, insurance, real estate and business services (ISIC Rev.2: Major Division 8)",5266724.0,2.40116022555913
178,301,Indonesia,Mining and quarrying (ISIC Rev.2: Major Division 2),2930752.0,1.33616364430296
179,298,Indonesia,"Electricity, gas and water (ISIC Rev.2: Major Division 4)",479272.0,0.21850563341161
